Food_items,Breakfast,Lunch,Dinner,Veg/NonVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,BMI_Range
Angoori Rasmalai,0,0,1,1,250,7.0,6.0,0.5,100,40,70,30.0,0.0,0.0,30.0,Healthy
Anjeer Basundi,0,0,1,1,300,5.0,7.0,0.6,150,70,60,35.0,0.0,0.0,35.0,Healthy
Anjeer Halwa,0,0,1,1,300,6.0,5.0,0.8,80,35,50,25.0,0.0,0.0,25.0,Healthy
Anjeer Ice Cream,0,0,1,1,200,4.0,3.0,0.3,60,30,40,20.0,0.0,0.0,20.0,Healthy
Anjeer Kofta Curry,0,0,1,1,240,4.5,8.0,0.6,30,20,35,26.0,0.8,0.0,20.0,Healthy
Anjeer Kulfi,0,0,1,1,180,3.5,2.5,0.3,40,25,30,15.0,0.0,0.0,15.0,Healthy
Anjeer Lassi,1,0,0,1,120,2.5,2.0,0.2,60,35,25,18.0,0.0,0.0,18.0,Healthy
Anjeer Pak,0,0,1,1,200,5.0,4.0,0.4,50,20,45,22.0,0.5,0.0,22.0,Healthy
Anjeer Shake,1,0,0,1,100,2.0,1.5,0.2,40,20,20,12.0,0.0,0.0,12.0,Healthy
Anjeer Smoothie,1,0,0,1,150,3.0,2.5,0.3,50,25,30,15.0,0.0,0.0,15.0,Healthy
Anjeer Tomato Chutney,0,0,1,1,60,0.5,0.8,0.3,10,8,12,10.0,0.3,0.0,8.0,Healthy
Ankole,0,0,1,1,200,4.0,8.0,1.0,30,15,40,28.0,0.9,0.0,15.0,Healthy
Appadalu,0,1,0,1,50,1.0,1.0,0.1,5,3,6,5.0,0.2,0.0,3.0,Healthy
Appam,1,0,0,1,100,1.0,2.5,0.5,15,10,18,20.0,0.5,0.0,10.0,Healthy
Appam Recipe,1,0,0,1,80,1.0,2.0,0.3,12,8,15,16.0,0.4,0.0,8.0,Healthy
Appam with Vegetable Stew,1,0,0,1,180,3.0,4.0,0.6,20,15,25,22.0,0.7,0.0,15.0,Healthy
Apricot Chicken,0,0,1,0,280,6.0,22.0,2.0,35,25,40,22.0,0.0,0.0,20.0,Healthy
Apricot Drink,0,1,0,1,90,0.2,1.2,0.3,12,10,15,18.0,0.6,0.0,10.0,Healthy
Apricot Jam,0,0,1,1,50,0.1,0.3,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Apricot Juice,1,0,0,1,70,0.1,0.5,0.2,10,8,12,10.0,0.3,0.0,8.0,Healthy
Apricot Milkshake,1,0,0,1,150,2.0,3.0,0.4,25,15,30,28.0,0.8,0.0,15.0,Healthy
Apricot Mousse,0,0,1,1,200,4.5,2.5,0.6,40,20,35,18.0,0.0,0.0,20.0,Healthy
Apricot Pachadi,0,1,0,1,50,0.8,0.5,0.2,6,4,8,7.0,0.4,0.0,4.0,Healthy
Apricot Raita,1,0,0,1,70,0.5,1.0,0.3,8,6,10,8.0,0.2,0.0,6.0,Healthy
Apricot Smoothie,1,0,0,1,120,1.0,2.0,0.5,20,15,25,20.0,0.5,0.0,15.0,Healthy
Apricot Sorbet,0,0,1,1,180,2.5,1.5,0.4,30,18,28,15.0,0.0,0.0,18.0,Healthy
Apricot Stew,0,1,0,1,100,1.0,1.5,0.3,15,12,20,18.0,0.5,0.0,12.0,Healthy
Apricot Sweet,0,0,1,1,200,3.5,2.5,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Arachu Vitta Sambar,1,0,0,1,150,2.5,7.5,1.0,20,12,25,26.0,0.8,0.0,12.0,Healthy
Arachuvitta Vathal Kuzhambu,1,0,0,1,180,3.0,9.0,1.2,25,15,28,30.0,1.0,0.0,15.0,Healthy
Aranellikkai Pickle,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Aranellikkai Puli Kuzhambu,1,0,0,1,160,2.5,7.5,1.0,15,10,18,20.0,0.5,0.0,10.0,Healthy
Aranellikkai Urugai,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Arisi Thengai Payasam,0,0,1,1,200,5.0,5.0,0.7,30,20,35,22.0,0.5,0.0,20.0,Healthy
Arisi Thengai Sadam,1,0,0,1,150,3.5,4.0,0.6,20,15,25,18.0,0.5,0.0,15.0,Healthy
Arisi Thirukannamudhu,1,0,0,1,120,2.5,3.0,0.5,15,12,20,16.0,0.4,0.0,12.0,Healthy
Arisi Uppu Kozhukattai,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Arisi Uppuma,1,0,0,1,160,2.5,4.5,0.7,15,10,18,20.0,0.5,0.0,10.0,Healthy
Ariti Gaati Pulusu,1,0,0,1,150,2.5,6.5,1.0,20,12,25,26.0,0.8,0.0,12.0,Healthy
Arvi Cutlets,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Arvi Fry,0,1,0,1,100,2.0,2.0,0.2,10,8,12,10.0,0.3,0.0,8.0,Healthy
Arvi Roast,0,1,0,1,120,2.5,2.5,0.3,15,12,20,16.0,0.4,0.0,12.0,Healthy
Ash Gourd Chutney,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Ashoka Halwa,0,0,1,1,200,4.0,4.0,0.5,30,18,28,15.0,0.0,0.0,18.0,Healthy
Ashoka Halwa Recipe,0,0,1,1,150,3.0,3.0,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Ashoka Sweet,0,0,1,1,200,3.5,2.5,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Asparagus and Baby Corn Delight,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Baby Corn Stir Fry,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.4,0.0,12.0,Healthy
Asparagus and Baby Corn Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Bell Pepper Stir Fry,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.4,0.0,12.0,Healthy
Asparagus and Carrot Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Asparagus and Cheese Quesadillas,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Cherry Tomato Salad,1,0,0,1,80,1.5,2.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Asparagus and Corn Rice,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Asparagus and Corn Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Corn Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Cottage Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Green Peas Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Asparagus and Mint Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Asparagus and Pineapple Salad,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.4,0.0,12.0,Healthy
Asparagus and Tomato Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Zucchini Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Zucchini Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus in Saffron Sauce,0,1,0,1,150,3.0,3.5,0.4,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus Salad,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Aval Puttu,1,0,0,1,100,2.5,1.5,0.3,12,8,15,16.0,0.4,0.0,8.0,Healthy
Aval Vadai,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Avial,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado and Cilantro Dressing,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado and Jaggery Smoothie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado and Tomato Sandwich,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado and Tomato Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Avocado Banana Smoothie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Cilantro Dip,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado Cilantro Dressing,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado Cilantro Hummus,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Cilantro Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Cream Dip,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Dip,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado Frittata,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Grapefruit Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Guacamole,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Hummus,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Ice Cream,0,0,1,1,200,4.0,3.0,0.4,30,15,30,25.0,0.0,0.0,15.0,Healthy
Avocado Lassi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Mango Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Milkshake,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Mojito,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.0,0.0,12.0,Healthy
Avocado Mousse,0,0,1,1,180,2.5,1.5,0.4,30,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Orange Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Paratha,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Pineapple Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Salad,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Avocado Sandwich,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Avocado Stuffed Pita,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Sweet,0,0,1,1,200,3.5,2.5,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Avocado Tomato Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Vada,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Avocado with Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Cottage Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Cucumber Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Feta Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Grapefruit Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Green Beans Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Orange Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Pineapple Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Potato Salad,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Sprouts Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Tofu Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado with Tomato Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Vegetable Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado with Watermelon Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Ayam Panggang,0,0,1,0,300,7.0,20.0,2.5,40,25,35,25.0,0.0,0.0,20.0,Healthy
Ayam Percik,0,0,1,0,320,8.0,22.0,2.0,50,30,40,30.0,0.0,0.0,25.0,Healthy
Andhra Tomato Chutney,0,0,1,1,50,0.8,0.5,0.2,6,4,8,7.0,0.4,0.0,4.0,Healthy
Angoori Rasmalai,0,0,1,1,250,7.0,6.0,0.5,100,40,70,30.0,0.0,0.0,30.0,Healthy
Anjeer Basundi,0,0,1,1,300,5.0,7.0,0.6,150,70,60,35.0,0.0,0.0,35.0,Healthy
Anjeer Halwa,0,0,1,1,300,6.0,5.0,0.8,80,35,50,25.0,0.0,0.0,25.0,Healthy
Anjeer Ice Cream,0,0,1,1,200,4.0,3.0,0.3,60,30,40,20.0,0.0,0.0,20.0,Healthy
Anjeer Kofta Curry,0,0,1,1,240,4.5,8.0,0.6,30,20,35,26.0,0.8,0.0,20.0,Healthy
Anjeer Kulfi,0,0,1,1,180,3.5,2.5,0.3,40,25,30,15.0,0.0,0.0,15.0,Healthy
Anjeer Lassi,1,0,0,1,120,2.5,2.0,0.2,60,35,25,18.0,0.0,0.0,18.0,Healthy
Anjeer Pak,0,0,1,1,200,5.0,4.0,0.4,50,20,45,22.0,0.5,0.0,22.0,Healthy
Anjeer Shake,1,0,0,1,100,2.0,1.5,0.2,40,20,20,12.0,0.0,0.0,12.0,Healthy
Anjeer Smoothie,1,0,0,1,150,3.0,2.5,0.3,50,25,30,15.0,0.0,0.0,15.0,Healthy
Anjeer Tomato Chutney,0,0,1,1,60,0.5,0.8,0.3,10,8,12,10.0,0.3,0.0,8.0,Healthy
Ankole,0,0,1,1,200,4.0,8.0,1.0,30,15,40,28.0,0.9,0.0,15.0,Healthy
Appadalu,0,1,0,1,50,1.0,1.0,0.1,5,3,6,5.0,0.2,0.0,3.0,Healthy
Appam,1,0,0,1,100,1.0,2.5,0.5,15,10,18,20.0,0.5,0.0,10.0,Healthy
Appam Recipe,1,0,0,1,80,1.0,2.0,0.3,12,8,15,16.0,0.4,0.0,8.0,Healthy
Appam with Vegetable Stew,1,0,0,1,180,3.0,4.0,0.6,20,15,25,22.0,0.7,0.0,15.0,Healthy
Apricot Chicken,0,0,1,0,280,6.0,22.0,2.0,35,25,40,22.0,0.0,0.0,20.0,Healthy
Apricot Drink,0,1,0,1,90,0.2,1.2,0.3,12,10,15,18.0,0.6,0.0,10.0,Healthy
Apricot Jam,0,0,1,1,50,0.1,0.3,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Apricot Juice,1,0,0,1,70,0.1,0.5,0.2,10,8,12,10.0,0.3,0.0,8.0,Healthy
Apricot Milkshake,1,0,0,1,150,2.0,3.0,0.4,25,15,30,28.0,0.8,0.0,15.0,Healthy
Apricot Mousse,0,0,1,1,200,4.5,2.5,0.6,40,20,35,18.0,0.0,0.0,20.0,Healthy
Apricot Pachadi,0,1,0,1,50,0.8,0.5,0.2,6,4,8,7.0,0.4,0.0,4.0,Healthy
Apricot Raita,1,0,0,1,70,0.5,1.0,0.3,8,6,10,8.0,0.2,0.0,6.0,Healthy
Apricot Smoothie,1,0,0,1,120,1.0,2.0,0.5,20,15,25,20.0,0.5,0.0,15.0,Healthy
Apricot Sorbet,0,0,1,1,180,2.5,1.5,0.4,30,18,28,15.0,0.0,0.0,18.0,Healthy
Apricot Stew,0,1,0,1,100,1.0,1.5,0.3,15,12,20,18.0,0.5,0.0,12.0,Healthy
Apricot Sweet,0,0,1,1,200,3.5,2.5,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Arachu Vitta Sambar,1,0,0,1,150,2.5,7.5,1.0,20,12,25,26.0,0.8,0.0,12.0,Healthy
Arachuvitta Vathal Kuzhambu,1,0,0,1,180,3.0,9.0,1.2,25,15,28,30.0,1.0,0.0,15.0,Healthy
Aranellikkai Pickle,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Aranellikkai Puli Kuzhambu,1,0,0,1,160,2.5,7.5,1.0,15,10,18,20.0,0.5,0.0,10.0,Healthy
Aranellikkai Urugai,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Arisi Thengai Payasam,0,0,1,1,200,5.0,5.0,0.7,30,20,35,22.0,0.5,0.0,20.0,Healthy
Arisi Thengai Sadam,1,0,0,1,150,3.5,4.0,0.6,20,15,25,18.0,0.5,0.0,15.0,Healthy
Arisi Thirukannamudhu,1,0,0,1,120,2.5,3.0,0.5,15,12,20,16.0,0.4,0.0,12.0,Healthy
Arisi Uppu Kozhukattai,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Arisi Uppuma,1,0,0,1,160,2.5,4.5,0.7,15,10,18,20.0,0.5,0.0,10.0,Healthy
Ariti Gaati Pulusu,1,0,0,1,150,2.5,6.5,1.0,20,12,25,26.0,0.8,0.0,12.0,Healthy
Arvi Cutlets,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Arvi Fry,0,1,0,1,100,2.0,2.0,0.2,10,8,12,10.0,0.3,0.0,8.0,Healthy
Arvi Roast,0,1,0,1,120,2.5,2.5,0.3,15,12,20,16.0,0.4,0.0,12.0,Healthy
Ash Gourd Chutney,0,1,0,1,50,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Ashoka Halwa,0,0,1,1,200,4.0,4.0,0.5,30,18,28,15.0,0.0,0.0,18.0,Healthy
Ashoka Halwa Recipe,0,0,1,1,150,3.0,3.0,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Ashoka Sweet,0,0,1,1,200,3.5,2.5,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Asparagus and Baby Corn Delight,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Baby Corn Stir Fry,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.4,0.0,12.0,Healthy
Asparagus and Baby Corn Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Bell Pepper Stir Fry,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.4,0.0,12.0,Healthy
Asparagus and Carrot Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Asparagus and Cheese Quesadillas,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Cherry Tomato Salad,1,0,0,1,80,1.5,2.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Asparagus and Corn Rice,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Asparagus and Corn Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Corn Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Cottage Cheese Salad,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus and Green Peas Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Asparagus and Mint Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Asparagus and Pineapple Salad,1,0,0,1,100,2.0,2.5,0.3,20,12,25,22.0,0.4,0.0,12.0,Healthy
Asparagus and Tomato Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Zucchini Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Asparagus and Zucchini Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus in Saffron Sauce,0,1,0,1,150,3.0,3.5,0.4,25,18,28,15.0,0.0,0.0,18.0,Healthy
Asparagus Salad,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Aval Puttu,1,0,0,1,100,2.5,1.5,0.3,12,8,15,16.0,0.4,0.0,8.0,Healthy
Aval Vadai,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Avial,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado and Cilantro Dressing,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado and Jaggery Smoothie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado and Tomato Sandwich,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado and Tomato Soup,1,0,0,1,80,1.5,2.0,0.4,15,10,18,20.0,0.5,0.0,10.0,Healthy
Avocado Banana Smoothie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Cilantro Dip,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado Cilantro Dressing,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado Cilantro Hummus,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Cilantro Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Avocado Cream Dip,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Dip,1,0,0,1,120,2.5,3.5,0.4,20,15,25,22.0,0.5,0.0,15.0,Healthy
Avocado Frittata,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Grapefruit Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Guacamole,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Hummus,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Ice Cream,0,0,1,1,200,4.0,3.0,0.4,30,15,30,25.0,0.0,0.0,15.0,Healthy
Avocado Lassi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Avocado Mango Salad,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Avocado Milkshake,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
